Symbol,Growth,Industry,sector_rank
PAGEIND.NS,-5.97885803014676,Textiles,1.0
INDUSTOWER.NS,41.59340306379256,Telecommunication,1.0
TATACOMM.NS,15.338734182651791,Telecommunication,2.0
IDEA.NS,9.81132219422538,Telecommunication,3.0
CONCOR.NS,24.988848636704052,Services,1.0
GODREJPROP.NS,30.376737146276245,Realty,1.0
OBEROIRLTY.NS,-3.105902386886228,Realty,2.0
HINDPETRO.NS,50.13746378824941,Oil Gas & Consumable Fuels,1.0
PETRONET.NS,39.564253707689346,Oil Gas & Consumable Fuels,2.0
GUJGASLTD.NS,32.88791706361902,Oil Gas & Consumable Fuels,3.0
SAIL.NS,47.77240111825709,Metals & Mining,1.0
NMDC.NS,28.920622364129088,Metals & Mining,2.0
ZEEL.NS,-40.574000693815535,Media Entertainment & Publication,1.0
OFSS.NS,91.91007113728664,Information Technology,1.0
PERSISTENT.NS,33.30405654538862,Information Technology,2.0
COFORGE.NS,13.845815581794717,Information Technology,3.0
LUPIN.NS,26.04789215599055,Healthcare,1.0
ABBOTINDIA.NS,19.01412284359889,Healthcare,2.0
BIOCON.NS,15.084155092960994,Healthcare,3.0
LICHSGFIN.NS,31.60138184482255,Financial Services,1.0
HDFCAMC.NS,28.66753943224767,Financial Services,2.0
RECLTD.NS,23.59625668449199,Financial Services,3.0
UBL.NS,2.1351645437724276,Fast Moving Consumer Goods,1.0
INDHOTEL.NS,38.25047102207766,Consumer Services,1.0
JUBLFOOD.NS,-17.15600041193871,Consumer Services,2.0
VOLTAS.NS,32.83662185349341,Consumer Durables,1.0
BATAINDIA.NS,-11.291017485227805,Consumer Durables,2.0
ACC.NS,42.220762995822916,Construction Materials,1.0
DALBHARAT.NS,-8.822809179597357,Construction Materials,2.0
CUMMINSIND.NS,42.519006974956184,Capital Goods,1.0
ASTRAL.NS,6.596072845952072,Capital Goods,2.0
BHARATFORG.NS,2.0017314668450137,Capital Goods,3.0
MRF.NS,30.503737976310607,Automobile and Auto Components,1.0
BALKRISIND.NS,-11.454465631319133,Automobile and Auto Components,2.0
