Symbol,Percentage Change
ACC.NS,6.094434197423524
AIAENG.NS,13.826752396737184
AARTIDRUGS.NS,0.047498739103668815
AARTIIND.NS,1.9394612226130925
ABBOTINDIA.NS,11.978078129595673
ADANIENT.NS,5.05600944468912
ADANIGREEN.NS,0.43507796481723454
ADANIPORTS.NS,7.987361439888294
ADANIPOWER.NS,1.1485735457576967
ABCAPITAL.NS,2.922992159880795
ABFRL.NS,5.442728383057693
AEGISCHEM.NS,8.18753289477016
APLLTD.NS,9.407901542349318
ARE&M.NS,8.059979132952694
AMBER.NS,16.69333031097721
AMBUJACEM.NS,2.5304866071012153
APARINDS.NS,5.719431380917842
APOLLOHOSP.NS,3.7062662088078318
APOLLOTYRE.NS,10.733955526122225
APTUS.NS,6.305635365164656
ACI.NS,0.4538335400592848
ASHOKLEY.NS,2.3132180422959907
ASTERDM.NS,2.1050204380518895
ASTRAL.NS,3.4677965073394192
AVANTIFEED.NS,7.150969371502051
BEML.NS,16.543247837229018
BLS.NS,5.7930996906231815
BSE.NS,12.713996818497058
BAJAJ-AUTO.NS,5.885262067043027
BAJAJFINSV.NS,0.4670820829598534
BAJAJHLDNG.NS,2.8019624049441774
BALRAMCHIN.NS,1.168113370543593
BANKBARODA.NS,9.781169165818508
BANKINDIA.NS,18.079257398272286
MAHABANK.NS,18.92992903525749
BDL.NS,2.4940207736125606
BHEL.NS,12.336878086524203
BPCL.NS,18.003976380531526
BHARTIARTL.NS,4.86719837252753
BIOCON.NS,0.5799763306974371
BIRLACORPN.NS,3.0337934110173945
BSOFT.NS,7.601706163580367
BLUESTARCO.NS,10.753845480893776
BBTC.NS,2.152260622103413
BORORENEW.NS,16.232416795390705
BOSCHLTD.NS,4.707509866115021
BRIGADE.NS,7.423113905466938
BCG.NS,2.198026939505187
CESC.NS,5.594216928736922
CIEINDIA.NS,1.2222678718159385
CRISIL.NS,2.268570735120023
CANFINHOME.NS,3.941597386149933
CANBK.NS,11.266422737669576
CGCL.NS,3.626825813425641
CASTROLIND.NS,7.373153043054727
CEATLTD.NS,2.502355756277221
CENTRALBK.NS,20.99466016229372
CDSL.NS,0.08409617252941025
CENTURYTEX.NS,3.9977757026270337
CERA.NS,2.7745123185102463
CHALET.NS,7.089649139592417
CHOLAHLDNG.NS,8.675777862130813
CIPLA.NS,7.879237365269078
COALINDIA.NS,12.208216663322363
COCHINSHIP.NS,11.039005794104328
COFORGE.NS,2.093304175452252
COLPAL.NS,1.4636500994610961
CAMS.NS,4.051415788625792
CONCOR.NS,6.182156845559763
CUMMINSIND.NS,11.460098414841264
DLF.NS,2.3999079985682417
DELHIVERY.NS,11.122394897455194
DIXON.NS,0.758341981430451
DRREDDY.NS,4.439738937692915
EIDPARRY.NS,7.596372298393189
EIHOTEL.NS,17.344363935869467
EASEMYTRIP.NS,8.12638896276712
EICHERMOT.NS,2.180239437243868
ELGIEQUIP.NS,5.244240925416334
ENDURANCE.NS,3.918199748683075
ENGINERSIN.NS,12.248236499269664
ESCORTS.NS,1.862210235301202
EXIDEIND.NS,6.484379459844673
FDC.NS,2.287641925433085
FINCABLES.NS,1.1332625340059268
FSL.NS,2.8174879843095426
FIVESTAR.NS,4.572760046757317
FORTIS.NS,2.1233040412310182
GRINFRA.NS,13.539720136833028
GAIL.NS,8.851311887138664
GMRINFRA.NS,5.9786579333327445
GICRE.NS,21.250047475778178
GLAND.NS,3.7565054012979324
GLAXO.NS,10.94986660295748
GLS.NS,13.552064760466962
MEDANTA.NS,13.933246825602005
GPIL.NS,0.4104735228657815
GODFRYPHLP.NS,8.205689776419547
GODREJCP.NS,4.181881964621747
GODREJIND.NS,4.104913689483363
GODREJPROP.NS,2.9322700419735876
GRANULES.NS,2.7415389222509847
GRAPHITE.NS,6.957263884204133
GRASIM.NS,0.2670615355397815
GUJALKALI.NS,0.5045996170081032
GAEL.NS,8.56256978478567
FLUOROCHEM.NS,0.5863038744096369
GUJGASLTD.NS,10.22090328421228
GPPL.NS,12.79522867960977
GSPL.NS,9.925369746382847
HEG.NS,1.6242249026804463
HCLTECH.NS,2.766885032320876
HDFCAMC.NS,3.2983674251282706
HFCL.NS,6.419649641308508
HEROMOTOCO.NS,9.01437194561062
HINDALCO.NS,0.750373250592502
HINDCOPPER.NS,10.526239909068327
HINDPETRO.NS,13.673488505658355
POWERINDIA.NS,4.400043916264742
HONAUT.NS,2.3963731397575856
HUDCO.NS,33.124164994529416
ICICIBANK.NS,2.1401911689741517
ICICIGI.NS,4.822530075512941
ISEC.NS,5.295479850438452
IDBI.NS,24.76484559710966
IRB.NS,38.34305347456608
IRCON.NS,6.908287659900844
ITI.NS,4.294513178149076
INDIANB.NS,22.56575461979147
INDHOTEL.NS,8.220974385915415
IOC.NS,22.06141625943923
IOB.NS,35.43430393547065
IRCTC.NS,0.9854701175431598
IRFC.NS,17.43272291240399
IGL.NS,2.7943523805788537
INFIBEAM.NS,31.06585520313262
NAUKRI.NS,0.9082298363637122
INFY.NS,4.851677071260969
INGERRAND.NS,3.709481546173877
INTELLECT.NS,7.666337919945378
INDIGO.NS,6.430248251645603
IPCALAB.NS,1.5710083511978241
JBCHEPHARM.NS,2.131334801000683
JKCEMENT.NS,5.690482324988144
JBMA.NS,5.913808094958176
JKLAKSHMI.NS,3.7225568299908995
JMFINANCIL.NS,3.310114246349437
JSWENERGY.NS,5.410352078561609
JAMNAAUTO.NS,7.3308649941561495
JINDALSAW.NS,0.7843992059720358
JSL.NS,2.410481189712647
JINDALSTEL.NS,3.8546558623628857
