Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA
AGI.NS,820.7000122070312,825.926005859375,846.3250038840554,738.9482272338868,840.3926465240601,742.7576879987754,14.531028385048478%,13.144927356907498%,Negative
AHLUCONT.NS,892.75,823.0180029296876,823.0750024968928,701.0432821655273,817.5549803536669,712.8254809834833,17.40715922052754%,14.692165496902355%,Positive
ASTRAMICRO.NS,660.0999755859375,589.7639916992188,597.7113564231179,439.9582021331787,581.7620229465977,464.1130919757603,35.85639579511376%,25.34919462624896%,Positive
BASF.NS,3174.75,3024.13400390625,3024.5772760564632,2688.8259509277345,2993.3309416245984,2733.3569720670466,12.486911806726772%,9.511160533157572%,Positive
CMSINFO.NS,384.25,375.660771484375,378.45683219216085,355.60105377197266,377.61018703834355,357.63191455895645,6.427365211027844%,5.5862666798137885%,Positive
CARTRADE.NS,704.5,715.287998046875,727.0727261629971,589.9757502746583,720.8064604827149,628.7040770479887,23.237730673593706%,14.649560388916658%,Negative
CARYSIL.NS,1060.6500244140625,867.96400390625,873.6954567649148,709.9515762329102,862.5679352655194,725.1298870989294,23.064091413227032%,18.95357654012119%,Positive
CIGNITITEC.NS,1005.8499755859375,1029.847998046875,1057.1443204012785,913.2419714355469,1037.1506918574826,924.3675696944506,15.75730786217896%,12.201111966780964%,Negative
CONFIPET.NS,98.30000305175781,88.32000091552734,90.26818223433061,80.29677297592163,89.02002326756904,82.39430240450858,12.41819426715826%,8.041479410229108%,Positive
DCXINDIA.NS,356.95001220703125,354.7259997558594,354.96022727272725,288.1285008239746,348.3684322427353,296.46606624653185,23.195111298476487%,17.5070174652107%,Positive
DALMIASUG.NS,409.29998779296875,400.57200317382814,403.9147741144354,398.77932403564455,407.75863596719694,399.28544021530473,1.2877924629642525%,2.122089838117625%,Positive
DATAMATICS.NS,706.25,711.88400390625,720.6204556551846,585.7068782043457,698.0806744477812,587.1405580958854,23.034316732706923%,18.89498431375241%,Negative
DHANI.NS,41.599998474121094,39.52000015258789,39.88750006935813,38.96399996757507,39.61718659562628,38.722727845275855,2.370136799485622%,2.309906352477043%,Positive
DIVGIITTS.NS,850.75,959.4780029296875,974.3034113103694,926.982569885254,970.2125194393619,918.285240443664,5.104825372387854%,5.654809280241684%,Negative
ESABINDIA.NS,5581.9501953125,5635.16599609375,5725.1818292791195,4924.130743408203,5664.115581831979,5104.405042758995,16.267867926603323%,10.965245398520613%,Negative
EDELWEISS.NS,68.30000305175781,73.9579995727539,75.57954528115012,60.39933280944824,72.57996331937856,64.40504295793822,25.133079730521867%,12.692981769733832%,Negative
FCL.NS,323.95001220703125,338.66400024414065,348.55340922962534,309.7884412384033,338.7300285759582,311.53283416271444,12.513368102520564%,8.730121332584357%,Negative
GABRIEL.NS,383.04998779296875,385.6439990234375,395.6727281050249,287.3361405944824,385.0131279606039,309.7901965502394,37.703780417736574%,24.281895375654813%,Negative
GOKEX.NS,926.5999755859375,888.3419970703125,889.2931782115589,676.4163296508789,888.6983404398492,719.6010721012203,31.471275785218396%,23.498751585356633%,Positive
GRAVITA.NS,895.2000122070312,986.6439990234375,1021.6340886896306,814.065817565918,992.7297381480882,853.3592276174845,25.497725938714417%,16.331986110903824%,Negative
GREENLAM.NS,529.9000244140625,533.3459985351562,543.3863594748757,456.5126490783691,533.5817362353481,467.2149889739973,19.029858334022425%,14.20475558951821%,Negative
HCG.NS,360.0,362.3919958496094,363.38977120139384,339.16350051879886,362.3250474104661,342.37076441943356,7.142947470921092%,5.828267207589845%,Negative
IOLCP.NS,443.1499938964844,454.9219982910156,455.69886155561966,432.6252490234375,450.91953936833835,423.4392047264057,5.333394799371069%,6.489794599838329%,Negative
ICIL.NS,262.54998779296875,281.6439990234375,288.4647709239613,234.5896881866455,281.35628589557774,240.4608801400431,22.965665351177496%,17.00709310043172%,Negative
INDOCO.NS,361.8500061035156,377.03200073242186,385.3284093683416,343.07199661254884,373.9569835315936,351.5228168102458,12.317068479219365%,6.381994467647295%,Negative
IONEXCHANG.NS,519.0499877929688,546.937998046875,563.2977253306996,500.0087434387207,551.0725174480151,500.6138776817291,12.65757503693239%,10.079352973583697%,Negative
JISLJALEQS.NS,66.69999694824219,62.25800033569336,63.429545575922184,54.09425004959107,63.2429901287571,55.06936966519311,17.25746362649072%,14.842407881654351%,Positive
KKCL.NS,753.25,755.3609008789062,761.8954384543679,664.5556620788574,759.2365417848134,676.8776834783089,14.647347382612471%,12.16746545450908%,Negative
KIRLOSBROS.NS,930.3499755859375,903.3499975585937,911.8056807084517,776.6737162780762,905.6967203409806,780.5668763813072,17.398807452625782%,16.030637187651735%,Positive
KRSNAA.NS,712.6500244140625,704.066005859375,704.2647774436257,614.0713815307618,697.8772187370432,619.7478218261443,14.687770611948917%,12.606643244131686%,Positive
MAITHANALL.NS,1121.25,1141.320009765625,1155.2090953480113,1050.5507876586914,1128.0674531003688,1068.4977403525215,9.962232089946497%,5.575090194219207%,Negative
MARKSANS.NS,153.1999969482422,157.84400024414063,159.06818147139117,115.68208202362061,152.85251999484208,121.59162989196689,37.50459767737561%,25.709738516253317%,Negative
OPTIEMUS.NS,309.04998779296875,307.0339990234375,315.81136322021484,269.1197919464111,310.041078019956,288.83274174835054,17.34973520011537%,7.342774279407525%,Negative
PGEL.NS,1964.199951171875,2094.6139794921874,2215.1238431063566,1836.6017468261718,2127.7071178367246,1880.0008216634797,20.609917034779485%,13.17586105914928%,Negative
PRIVISCL.NS,1237.3499755859375,1172.46599609375,1209.780684037642,1163.2772497558594,1204.0933357961737,1156.845874102082,3.9976226038584%,4.08416218199889%,Positive
RESPONIND.NS,310.95001220703125,294.98,304.0397720336914,250.65683387756349,302.8702654871418,259.5303447939129,21.297220319236736%,16.699365435530925%,Positive
ROLEXRINGS.NS,2052.85009765625,2396.28802734375,2399.290937943892,2196.6162579345705,2362.083793228237,2215.0205246764344,9.226676679516704%,6.639363694983606%,Negative
SAKSOFT.NS,306.75,318.31599975585937,319.54886349764735,308.15260231018067,321.3290198917988,297.91641732320636,3.6982524573962263%,7.858782264823072%,Negative
SARDAEN.NS,232.5,246.28199951171874,249.13409146395597,193.7502039718628,243.464907941159,202.5275299649042,28.585202160683277%,20.2132411249714%,Negative
SHILPAMED.NS,361.5,335.0380029296875,346.29545662619853,322.5420004272461,345.10251179766425,326.79161306292326,7.364453673471395%,5.603233988509751%,Positive
SOMANYCERA.NS,734.9500122070312,703.7240087890625,714.0852342085404,679.1993803405762,705.6477805667009,671.609712594777,5.13632003764066%,5.068132180581076%,Positive
STYLAMIND.NS,1588.1500244140625,1663.1860205078126,1701.9511496803977,1635.0015142822265,1685.696112716917,1599.4740705542415,4.094775130992002%,5.3906495735062645%,Negative
TMB.NS,499.75,499.4999987792969,504.3522741144354,485.6733419799805,505.9409516382877,496.10071294224457,3.845986699270977%,1.9835163383828285%,Negative
TIIL.NS,2427.35009765625,2385.477998046875,2442.08408425071,1970.694752807617,2366.720351271535,1989.5723344990697,23.919956694029462%,18.95623547999439%,Negative
TI.NS,225.0,245.1980010986328,246.7386370572177,198.690362739563,243.47783293940935,205.8647681952888,24.182488599426854%,18.270763411269964%,Negative
TIMETECHNO.NS,173.60000610351562,175.21200012207032,177.76818154074928,141.45011863708496,173.8555807474356,146.80054625029857,25.675526647556%,18.429791433478403%,Negative
VSTTILLERS.NS,3026.449951171875,3388.81400390625,3599.1965942382812,3281.8603930664062,3493.1677190607347,3315.398570483786,9.669399766129965%,5.361923907417517%,Negative
VRLLOG.NS,689.0499877929688,724.0319970703125,731.2602289373225,698.3230081176757,722.7238580126918,684.7415896556811,4.71661687167215%,5.5469492332297134%,Negative
VESUVIUS.NS,3661.0,3528.587998046875,3579.3431673916903,3035.053287963867,3550.2760712116956,3076.3774566519423,17.93345380742794%,15.404436589374265%,Positive
