Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA
SRF.NS,2279.5,2333.564013671875,2378.6409190784802,2350.3986743164064,2338.7437124507987,2328.937762787428,1.2015938006894868%,0.42104816281713453%,Negative
SAFARI.NS,2020.5,1927.263994140625,1986.0170454545455,1751.766987915039,1983.384963167405,1762.5073505338028,13.372215548959055%,12.532010863200426%,Positive
SFL.NS,1147.050048828125,1179.0120068359374,1193.795460094105,1133.5440045166015,1171.647520827171,1153.875457212633,5.315316859110175%,1.540206397791785%,Negative
SHREECEM.NS,27795.0,27580.87015625,27908.48650568182,25689.169775390626,27562.75778350187,26139.330481172343,8.639114263697325%,5.4455384898048385%,Negative
SBIN.NS,641.4500122070312,631.6160034179687,631.6727308793502,589.4150122070313,624.7024733716349,590.6586601375565,7.169433726176614%,5.763703392776823%,Positive
SUNTV.NS,643.6500244140625,679.1200073242187,684.3397743918679,567.7457870483398,671.1677153917118,593.68273733963,20.536301634167977%,13.051580108140277%,Negative
SUNTECK.NS,475.1000061035156,458.36800048828127,460.81931859796697,389.0148487854004,459.08288725910376,410.25146460912896,18.458028025603067%,11.902802759400117%,Positive
SUPREMEIND.NS,4145.0498046875,4198.962021484375,4336.004566539417,3807.009255371094,4246.785774930746,3882.009926644356,13.895298794506317%,9.396571754820462%,Negative
SYRMA.NS,572.0999755859375,608.232001953125,625.4875030517578,509.5939239501953,605.7528074577037,518.5295219665228,22.74233927343476%,16.82127666721592%,Negative
TATACOMM.NS,1700.0,1726.3620068359376,1732.1125044389205,1637.0894079589843,1726.1624984366808,1635.2829525778504,5.804392601770279%,5.557420244341715%,Negative
TATAELXSI.NS,7691.5,8239.58798828125,8453.835216175426,7628.418928222656,8199.136234035479,7701.208822786498,10.820280004536718%,6.4655747260833%,Negative
TTML.NS,92.55000305175781,91.36600006103515,91.54431863264604,83.09075004577636,91.23064000400942,85.56217018042524,10.173898517238609%,6.624972007641991%,Positive
TEJASNET.NS,757.7000122070312,821.0640014648437,828.2170479514382,794.3895007324219,818.0752460920272,783.6133508791149,4.25830744084955%,4.397818793445824%,Negative
RAMCOCEM.NS,994.5999755859375,984.6139990234375,998.9886335893111,922.0406237792969,987.8363741144695,920.1301370756429,8.345403426436535%,7.358332730412524%,Negative
TRIVENI.NS,349.0,336.6639990234375,339.89772657914597,323.0138301086426,342.16186203108504,328.0325671480065,5.226988722069466%,4.307284183982714%,Positive
TRITURBINE.NS,418.5,396.16999877929686,403.5079539905895,395.8977505493164,396.91485447326073,382.5715540602022,1.9222648854947444%,3.749181103726669%,Positive
UJJIVANSFB.NS,58.54999923706055,57.53,57.79999993064187,47.78920767784118,57.071680974274976,49.09475468770226,20.947809639962855%,16.24802147869954%,Positive
WELSPUNLIV.NS,153.4499969482422,150.73799865722657,150.95340798117897,122.7491411972046,150.31652833896493,126.51407847224345,22.977160173090223%,18.814072041747995%,Positive
ZEEL.NS,176.75,223.67799865722657,244.60681672529742,233.84949974060058,227.6675263853461,238.23331456229195,4.600102628669072%,-4.435059049721265%,Negative
ZENSARTECH.NS,598.0,568.8889819335938,570.7249908447266,475.46857833862305,563.7828332626576,479.795824579231,20.034218210369946%,17.504739387234377%,Positive
