Unnamed: 0,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
FIIs +,12.79%,11.74%,10.81%,9.99%,11.99%,12.68%,42.68%,42.99%,43.35%,43.62%,43.34%,43.26%
DIIs +,42.50%,42.40%,43.72%,43.79%,42.77%,42.82%,42.38%,42.19%,42.08%,41.92%,41.94%,41.98%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%
Public +,44.71%,45.86%,45.47%,46.22%,45.24%,44.50%,14.87%,14.78%,14.52%,14.41%,14.68%,14.71%
No. of Shareholders,2196475,2630128,2568030,2997699,2840964,2838036,2896358,2936692,2930527,3013793,3274360,3335815
