Title,Description,Date,Source,Source_Link
UGRO Capital NCDs offer effective yields up to 11.03%; subscription open until February 21,"It will close on Wednesday, February 21, 2024, with an option of early closure subject to compliance with Regulation 33A of the SEBI NCS Regulations.","02:31 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=UGRO+Capital+NCDs+offer+effective+yields+up+to+11.03%25%3B+subscription+open+until+February+21+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fbonds%2Fugro-capital-ncds-offer-effective-yields-up-to-11-03-subscription-open-until-february-21%2Farticleshow%2F107552555.cms
Alpex Solar IPO subscribed 51 times on Day 2; GMP at 160% over issue price,"​Alpex Solar IPO continued to garner a bumper response from investors on Friday, the second day of the bidding process with an overall subscription of nearly 51 times.","02:31 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Alpex+Solar+IPO+subscribed+51+times+on+Day+2%3B+GMP+at+160%25+over+issue+price+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fipos%2Ffpos%2Falpex-solar-ipo-subscribed-51-times-on-day-2-gmp-at-160-over-issue-price%2Farticleshow%2F107552538.cms
India’s Stock Trading Value Surges To New High Versus Hong Kong,"India’s stock trading value has surged to a record high versus that of Hong Kong, in yet another sign of shifting investor sentiment in Asia.","02:14 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=India%E2%80%99s+Stock+Trading+Value+Surges+To+New+High+Versus+Hong+Kong&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fmarkets%2Findia-stock-trading-value-surges-to-record-high-beats-hong-kong
Microsoft’s Nadella Says India To Become Largest Developer Community On GitHub By 2027,"India will surpass the U.S. by 2027 for hosting the largest developer community on the platform, he said.","02:13 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Microsoft%E2%80%99s+Nadella+Says+India+To+Become+Largest+Developer+Community+On+GitHub+By+2027&url=https%3A%2F%2Fwww.ndtvprofit.com%2Ftechnology%2Fmicrosofts-nadella-says-india-to-become-largest-developer-community-on-github-by-2027
Max Life Selects Oracle Exadata Database Service To Move Core Applications To Cloud,Max Life said it has improved application performance by up to 70% after it moved its core application to Oracle Exadata Database Service,"02:13 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Max+Life+Selects+Oracle+Exadata+Database+Service+To+Move+Core+Applications+To+Cloud&url=https%3A%2F%2Fwww.ndtvprofit.com%2Ftechnology%2Fmax-life-selects-oracle-exadata-database-service-to-move-core-applications-to-cloud
"Chris Wood of Jefferies buys Airtel to pare stake in RIL, HDFC Bank","Chris Wood, in his Greed & Fear weekly newsletter, said he was pleasantly surprised at the Budget which was almost devoid of vote-buying populism despite coming just ahead of the Lok Sabha elections later in the year. In Wood's global long-only portfolio, the investment in HDFC Bank will be reduced by two percentage points, while the investments in Axis Bank and TSMC will be increased by one percentage point each.","02:11 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Chris+Wood+of+Jefferies+buys+Airtel+to+pare+stake+in+RIL%2C+HDFC+Bank+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fnews%2Fchris-wood-of-jefferies-buys-airtel-to-pare-stake-in-ril-hdfc-bank%2Farticleshow%2F107551896.cms
Max Healthcare Acquires Nagpur-Based Alexis Hospital For Rs 412 Crore,"The 200-bed hospital is set up on a land parcel of 2-acre at Mankapur, north of Nagpur.","02:10 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Max+Healthcare+Acquires+Nagpur-Based+Alexis+Hospital+For+Rs+412+Crore&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Fmax-healthcare-acquires-nagpur-based-alexis-hospital-for-rs-412-crore
Oil stocks fall up to 8% on crude price uptick. IOC dragged most,"Both IOC and HPCL have given multibagger returns of 128% and 116%, respectively over the past 12 months while returns by BPCL have been to the tune of 80% during this period.","02:09 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Oil+stocks+fall+up+to+8%25+on+crude+price+uptick.+IOC+dragged+most+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fnews%2Foil-stocks-fall-up-to-8-on-crude-price-uptick-ioc-dragged-most%2Farticleshow%2F107551866.cms
Torrent Power trades 2% lower as Q3 net profit plunges 47%,The Q3FY24 net profit was impacted by lower topline and dismal operating numbers with higher fuel cost.,"02:07 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Torrent+Power+trades+2%25+lower+as+Q3+net+profit+plunges+47%25&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fstocks%2Ftorrent-power-trades-2-lower-as-q3-net-profit-plunges-47-12229491.html
HPCL To Commission Barmer Refinery By January 2025,India's current refining capacity is a shade under 254 million tonne.,"02:06 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=HPCL+To+Commission+Barmer+Refinery+By+January+2025&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Fbiz-hpcl-6
Share price of GAIL  falls  as Sensex  gains  96.58 points,"A total of 1,206,644 shares changed hands on the counter till 02:06PM (IST)","02:06 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Share+price+of+GAIL++falls++as+Sensex++gains++96.58+points+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fstock-watch%2Fshare-price-of-gail-falls-as-sensex-gains-96-58-points%2Farticleshow%2F107551784.cms
Alibaba’s Breakout Failure Opens Doors To A 15% Price Slump,"Technicals now suggest a downside price target of HK$59, which implies a 15% drop from Friday’s close.","02:04 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Alibaba%E2%80%99s+Breakout+Failure+Opens+Doors+To+A+15%25+Price+Slump&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fmarkets%2Falibaba-s-breakout-failure-opens-doors-to-a-15-price-slump
Paytm Shares Extend Loss For Second Session Straight,"Paytm shares continue to decline amid RBI restrictions, SoftBank sell-off, and board member resignation, leading to a 21% drop since Jan 31.","02:01 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Paytm+Shares+Extend+Loss+For+Second+Session+Straight&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbuzzing-stocks%2Fpaytm-shares-extend-loss-for-second-session-straight
Tata Power shares  drop  3.74% as Sensex  rises,"On the technical charts, the RSI of the stock stood at 67.42.","02:00 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Tata+Power+shares++drop++3.74%25+as+Sensex++rises++&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fstock-watch%2Ftata-power-shares-drop-3-74-as-sensex-rises%2Farticleshow%2F107551508.cms
"Paytm E-Commerce Renamed Pai Platforms, Acquires ONDC Seller Firm Bitsila","Elevation Capital is the largest shareholder in Paytm E-commerce. It is also backed by Paytm Founder and CEO Vijay Shekhar Sharma, Softbank and eBay.","01:58 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Paytm+E-Commerce+Renamed+Pai+Platforms%2C+Acquires+ONDC+Seller+Firm+Bitsila&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Fpaytm-e-commerce-renamed-pai-platforms-acquires-ondc-seller-firm-bitsila
Expect exports to show uptrend in coming quarters: Cummins India CFO,"Cummins India's CFO, Ajay Patil, discusses the company's plans in the data centre business. He emphasizes the importance of reliability in this sector and highlights that Cummins has engineered its products to meet the high reliability standards of data centres. He also says that he expects exports to show an uptick in the coming quarters.","01:51 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Expect+exports+to+show+uptrend+in+coming+quarters%3A+Cummins+India+CFO+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fexpert-view%2Fexpect-exports-to-show-uptrend-in-coming-quarters-cummins-india-cfo%2Farticleshow%2F107551225.cms
Radhakishan Damani's portfolio: 4 stocks surge over 100% in FY24,ETMarkets analyzed Radhakishan Damani's holdings for the December quarter. The study showed that he holds positions in approximately 14 stocks.,"01:50 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Radhakishan+Damani%27s+portfolio%3A+4+stocks+surge+over+100%25+in+FY24+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fweb-stories%2Fradhakishan-damanis-portfolio-4-stocks-surge-over-100-in-fy24%2Fslideshow%2F107551226.cms
"F&O stocks: ICICI Bank, SBI among 5 stocks with long buildup","Grasim Industries stock price gained 4.55%, and open interest saw a rise of 1.35%. Ambuja Cement price surged 2.82%, and open interest saw an increase of 0.3%.","01:38 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=F%26O+stocks%3A+ICICI+Bank%2C+SBI+among+5+stocks+with+long+buildup+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Foptions%2Ffo-stocks-icici-bank-sbi-among-5-stocks-with-long-buildup%2Farticleshow%2F107550826.cms
Grasim Begins Trial Run For Paints In Three Plants Ahead Of Launch By March,"The trial run is being done in Ludhiana, Cheyyar and Panipat facilities, while sales and distribution networks are being put in place to support the launch of the paints business — Birla Opus.","01:34 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Grasim+Begins+Trial+Run+For+Paints+In+Three+Plants+Ahead+Of+Launch+By+March&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Fgrasim-begins-trial-run-for-paints-in-three-plants-ahead-of-launch-by-march
Small tea growers in Nilgiris demand creation of corpus fund,,"01:33 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Small+tea+growers+in+Nilgiris+demand+creation+of+corpus+fund+&url=https%3A%2F%2Fwww.thehindu.com%2Fnews%2Fcities%2FCoimbatore%2Fsmall-tea-growers-in-nilgiris-demand-creation-of-corpus-fund%2Farticle67828347.ece
"Crypto Price on February 9: Bitcoin rises above $46,000 mark; Cardano, Solana jump up to 5%","Altcoins such as BNB, Solana, and Cardano surged 2-5%. XRP, Avalanche, Dogecoin, Polkadot, and Polygon rose up to 2%, while Tron and Chainlink declined up to 3%.","01:26 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Crypto+Price+on+February+9%3A+Bitcoin+rises+above+%2446%2C000+mark%3B+Cardano%2C+Solana+jump+up+to+5%25+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fcryptocurrency%2Fcrypto-price-on-february-9-bitcoin-rises-above-46000-mark-cardano-solana-jump-up-to-5%2Farticleshow%2F107550476.cms
Billionaire Adani Secures Ore For $1.2 Billion Copper Smelter,"The first 500,000 tons of capacity at the $1.2 billion facility in Mundra in the western state of Gujarat is set to start operations next month.","01:23 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Billionaire+Adani+Secures+Ore+For+%241.2+Billion+Copper+Smelter&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Fbillionaire-adani-secures-ore-for-1-2-billion-copper-smelter
Tata Elxsi  declines  1.89% as Sensex  climbs,"The stock traded at a P/E multiple of 59.15, while the price-to-book value ratio stood at 17.8.","01:19 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Tata+Elxsi++declines++1.89%25+as+Sensex++climbs++&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fstock-watch%2Ftata-elxsi-declines-1-89-as-sensex-climbs%2Farticleshow%2F107550247.cms
Supreme Court To Hear Plea Against Google's User Choice Billing Policy,The case has reached the top court after the Madras High Court dismissed appeals filed by Indian companies challenging Google LLC's new billing policy.,"01:17 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Supreme+Court+To+Hear+Plea+Against+Google%27s+User+Choice+Billing+Policy&url=https%3A%2F%2Fwww.ndtvprofit.com%2Flaw-and-policy%2Fsupreme-court-to-hear-plea-against-googles-user-choice-billing-policy
"Supreme Court to hear curative petition by Centre, AAI in Nagpur airport case",The case relates to the decision of the then Maharashtra government to annul the tender awarded to GMR Group in 2020 after the firm emerged as the highest bidde for the Nagpur Airport in 2019.,"01:12 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Supreme+Court+to+hear+curative+petition+by+Centre%2C+AAI+in+Nagpur+airport+case&url=https%3A%2F%2Fwww.thehindu.com%2Fnews%2Fnational%2Fsupreme-court-to-hear-curative-petition-by-centre-aai-in-nagpur-airport-case%2Farticle67828366.ece
These 5 F&O stocks saw over 10% increase in futures open interest,"A significant uptick in futures open interest signifies a substantial growth in the number of active, unexpired futures contracts in a specific security.","01:11 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=These+5+F%26O+stocks+saw+over+10%25+increase+in+futures+open+interest+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fweb-stories%2Fthese-5-fampo-stocks-saw-over-10-increase-in-futures-open-interest%2Fslideshow%2F107549938.cms
"Oyo clocks Rs 30-crore profit in Q3FY24, founder Ritesh Agarwal tells employees","People familiar with the matter said Agarwal stated that in the upcoming quarters, it anticipates a consistent rise in PAT, driven by ‘enhanced’ patron confidence, ‘improved’ customer experience, and ‘favourable’ market conditions conducive to sustained growth.","01:02 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Oyo+clocks+Rs+30-crore+profit+in+Q3FY24%2C+founder+Ritesh+Agarwal+tells+employees+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fearnings%2Foyo-clocks-rs-30-crore-profit-in-q3fy24-founder-ritesh-agarwal-tells-employees%2Farticleshow%2F107549629.cms
"OYO expects consistent PAT rise in upcoming quarters, CEO Ritesh Agarwal tells employees",Ritesh Agarwal shared the update about the two-fold increase in the company's profit during an employee town hall on Friday.,"01:00 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=OYO+expects+consistent+PAT+rise+in+upcoming+quarters%2C+CEO+Ritesh+Agarwal+tells+employees&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Foyo-expects-consistent-pat-rise-in-upcoming-quarters-ceo-ritesh-agarwal-tells-employees-12231681.html
"Have gained market share in beer category on a national basis: Vivek Gupta, United Breweries",We will continue to invest around our spend so that we can continue to strengthen our brands at the same time.,"12:57 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Have+gained+market+share+in+beer+category+on+a+national+basis%3A+Vivek+Gupta%2C+United+Breweries+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fexpert-view%2Fhave-gained-market-share-on-beer-category-on-a-national-basis-vivek-gupta-united-breweries%2Farticleshow%2F107549149.cms
"PV Narasimha Rao, Chaudhary Charan Singh, MS Swaminathan to be conferred with Bharat Ratna",Prime Minister Narendra Modi announced the development on social media,"12:53 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=PV+Narasimha+Rao%2C+Chaudhary+Charan+Singh%2C+MS+Swaminathan+to+be+conferred+with+Bharat+Ratna&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Findia%2Fformer-prime-ministers-pv-narasimha-rao-chaudhary-charan-singh-ms-swaminathan-to-be-conferred-with-bharat-ratna-12231481.html
Moonlighting refuses to fade as opportunities to make extra bucks proliferate,"Though many corporate offices have reopened for in-person attendance, some employees continue to work for other employers, sometimes even at the workplace.","12:52 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Moonlighting+refuses+to+fade+as+opportunities+to+make+extra+bucks+proliferate&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fmoonlighting-refuses-to-fade-as-opportunities-to-make-extra-bucks-proliferate-12231041.html
Supreme Court agrees to hear startups' pleas against Google's billing policy,"A bench led by Chief Justice of India DY Chandrachud, however, refused to pass an interim order protecting these startups from being removed from Google's Play Store","12:50 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Supreme+Court+agrees+to+hear+startups%27+pleas+against+Google%27s+billing+policy&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Ftrends%2Flegal%2Fsupreme-court-agrees-to-hear-startups-pleas-against-googles-billing-policy-12230331.html
Bullish Momentum: 4 stocks with White Marubozu Pattern on February 8,"It occurs when the opening price is the lowest for a given period, and the closing price is the highest.","12:49 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Bullish+Momentum%3A+4+stocks+with+White+Marubozu+Pattern+on+February+8+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fweb-stories%2Fbullish-momentum-4-stocks-with-white-marubozu-pattern-on-february-8%2Fslideshow%2F107549128.cms
"As team captain, I need to field the best one to win: Freshworks CEO Girish Mathrubootham",Freshworks has seen some management rejig and internal consolidation in the past year with the firm’s CTO departing at the beginning of 2023 and the company’s CRO Pradeep Rathinam leaving the firm in Q4.,"12:48 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=As+team+captain%2C+I+need+to+field+the+best+one+to+win%3A+Freshworks+CEO+Girish+Mathrubootham&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Ftechnology%2Fas-team-captain-i-need-to-field-the-best-one-to-win-freshworks-ceo-girish-mathrubootham-12230961.html
"Tata Consumer Targets 20% Margin In Medium Term, Says CEO Sunil D'Souza — Exclusive","Contribution from the growth business stands at 17% and aims to increase this contribution to 20% by the end of this fiscal year, the CEO said.","12:37 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Tata+Consumer+Targets+20%25+Margin+In+Medium+Term%2C+Says+CEO+Sunil+D%27Souza+%E2%80%94+Exclusive&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbq-blue-exclusive%2Ftata-consumer-targets-20-margin-in-medium-term-says-ceo-sunil-dsouza-exclusive
"Avaada Energy Secures 1,400 MWp Solar Projects","Avaada Energy secures 1,400 MWp solar projects in India, expanding its renewable energy footprint.","12:30 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Avaada+Energy+Secures+1%2C400+MWp+Solar+Projects&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Favaada-energy-secures-1400-mwp-solar-projects
"Jefferies downgrades ITC, cuts target price by Rs 90. It's not just about BAT","BAT's potential stake sale in ITC could result in a supply overhang of about $2.5 billion. BAT is facing challenges from declining cigarette volumes in key markets, including the US. The company also holds $40 billion in net debt, accounting for 3x Ebitda and nearly 60% of the market cap.","12:27 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Jefferies+downgrades+ITC%2C+cuts+target+price+by+Rs+90.+It%27s+not+just+about+BAT+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fnews%2Fjefferies-downgrades-itc-cuts-target-price-by-rs-90-its-not-just-about-bat%2Farticleshow%2F107548448.cms
"Chris Wood Adds Airtel To India Portfolio, Cuts RIL, HDFC Bank Weights","While investment in RIL will be lowered by 3 percentage points, HDFC Bank's weight will be reduced by 2 points in Jefferies India long-only portfolio.","12:26 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Chris+Wood+Adds+Airtel+To+India+Portfolio%2C+Cuts+RIL%2C+HDFC+Bank+Weights&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fmarkets%2Fchris-wood-adds-airtel-to-india-portfolio-cuts-ril-hdfc-bank-weights
IREDA shares tank 14% in three sessions. What should you do?,"IREDA stock has been on a course correction since hitting its all-time high of Rs 214.80 on the NSE on Tuesday, February 6. Today's price action was accompanied by strong volume action with more than 27.39 lakh shares changing hands around 11:20 am.","12:25 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=IREDA+shares+tank+14%25+in+three+sessions.+What+should+you+do%3F+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fnews%2Fireda-shares-tank-14-in-three-sessions-what-should-you-do%2Farticleshow%2F107548417.cms
Top 10 Most Valuable Firms In India; LIC Now At 5th,LIC crossed ICICI Bank to become the fifth most valued firm after its market cap crossed Rs 7 Lakh crore.,"12:23 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Top+10+Most+Valuable+Firms+In+India%3B+LIC+Now+At+5th&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fweb-stories%2Ftop-10-most-valuable-firms-in-india-lic-now-at-5th-npc
"Bullish on DLF, L&T, Maruti Suzuki and RIL from Indian equities: Jonathan Garner","We also like consumer discretionary and property. We are restricted, unfortunately, in talking about individual financial stocks but the names that we have in our focus list from India at the moment are DLF, Larsen & Toubro, Maruti Suzuki and then the mega cap Reliance Industries.","12:22 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Bullish+on+DLF%2C+L%26T%2C+Maruti+Suzuki+and+RIL+from+Indian+equities%3A+Jonathan+Garner+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fexpert-view%2Fbullish-on-dlf-lt-maruti-suzuki-and-ril-from-indian-equities-jonathan-garner%2Farticleshow%2F107547893.cms
These 3 stocks show RSI Trending Up on February 8,It is an uptrend signal if the RSI value has crossed above 50 from below.,"12:21 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=These+3+stocks+show+RSI+Trending+Up+on+February+8+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fweb-stories%2Fthese-3-stocks-show-rsi-trending-up-on-february-8%2Fslideshow%2F107548266.cms
These 4 stocks closed below VWAP on February 8. Time to sell?,"A shift below the VWAP suggests a potential bearish trend, according to stockedge.com's technical scan data.","12:17 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=These+4+stocks+closed+below+VWAP+on+February+8.+Time+to+sell%3F+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fweb-stories%2Fthese-4-stocks-closed-below-vwap-on-february-8-time-to-sell%2Fslideshow%2F107548130.cms
Mastermind behind meme account that took a dig at Wall Street giants revealed,,"12:13 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Mastermind+behind+meme+account+that+took+a+dig+at+Wall+Street+giants+revealed&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Ftrends%2Flitquidity-meme-account-mastermind-revealed-wall-street-12230311.html
"Benefits of brushing, flossing, cleaning your tongue: 5 daily dental habits you must follow without fail","Poor oral health is not only  about cavities and yellowing teeth. It can wreak havoc on your overall health, leading to serious health risks such as heart diseases, diabetes, respiratory issues and much more.","12:13 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Benefits+of+brushing%2C+flossing%2C+cleaning+your+tongue%3A+5+daily+dental+habits+you+must+follow+without+fail&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fhealth-and-fitness%2Fbenefits-of-brushing-flossing-cleaning-your-tongue-5-daily-dental-habits-you-must-follow-without-fail-12230061.html
Vladimir Putin tells Tucker Carlson Russia has no interest in attacking Poland or Latvia,"In his first interview with an American journalist since before Russia's invasion of Ukraine nearly two years ago, Putin said Western leaders had come to realize it was impossible inflict a strategic defeat on Russia and were wondering what to do next.","12:12 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Vladimir+Putin+tells+Tucker+Carlson+Russia+has+no+interest+in+attacking+Poland+or+Latvia&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fworld%2Fvladimir-putin-tells-tucker-carlson-russia-has-no-interest-in-attacking-poland-or-latvia-12230841.html
"China stock rebound shows cracks, spoiling traders’ holiday mood","Beijing’s intensified efforts to halt the equity rout helped the benchmark CSI 300 Index stage a sharp rebound but its gains slowed before the market shut for the Lunar New Year break. A slide in Hong Kong-listed Chinese shares on Friday showed that skepticism is still running high, dampening the holiday spirits.","12:08 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=China+stock+rebound+shows+cracks%2C+spoiling+traders%E2%80%99+holiday+mood&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fworld%2Fchina-stock-rebound-shows-cracks-spoiling-traders-holiday-mood-12230361.html
ITC Downgraded To 'Hold' By Jefferies As British American Tobacco Mulls Stake Sale,"A potential 4% stake sale would be valued at $2.5 billion and create a supply overhang, according to Jefferies.","12:07 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=ITC+Downgraded+To+%27Hold%27+By+Jefferies+As+British+American+Tobacco+Mulls+Stake+Sale&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fmarkets%2Fitc-downgraded-to-hold-by-jefferies-as-british-american-tobacco-mulls-stake-sale
Delhi HC agrees to hear challenge to entry of foreign lawyers in India,A division bench of the HC directed the BCI to file its response to the plea and agreed to list it in April 2024 for a hearing.,"12:07 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Delhi+HC+agrees+to+hear+challenge+to+entry+of+foreign+lawyers+in+India&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Ftrends%2Flegal%2Fdelhi-hc-agrees-to-hear-challenge-to-entry-of-foreign-lawyers-in-india-12229511.html
"Risk Of Bank Defaults Spreading To Europe, Man Group Fund Manager Says",Investor concern over U.S. commercial real estate is already rippling across global markets.,"12:02 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Risk+Of+Bank+Defaults+Spreading+To+Europe%2C%C2%A0Man+Group+Fund+Manager+Says&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Fman-group-manager-sees-risk-of-bank-defaults-spreading-to-europe
"IndiGo, SpiceJet shares fall on proposal to cap airfares",A parliamentary panel has proposed route-specific capping of airfare and a separate entity to regulate and control air ticket prices,"12:01 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=IndiGo%2C+SpiceJet+shares+fall+on+proposal+to+cap+airfares&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fmarkets%2Findigo-spicejet-shares-fall-on-proposal-to-cap-airfares-12230251.html
More Indian asset managers shift overseas business to GIFT City,"The Indian government is promoting the Gujarat International Finance Tec-City, or GIFT City, as a ""gateway for global capital and financial services for the economy"" and is trying to attract companies through tax-breaks and other incentives.","12:01 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=More+Indian+asset+managers+shift+overseas+business+to+GIFT+City&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fmarkets%2Fmore-indian-asset-managers-shift-overseas-business-to-gift-city-12230341.html
India To Sell $11.6 Billion Airwaves To Boost Phone Networks,"A total 10,523.1 mega hertz airwaves in eight bands — 800, 900, 1800, 2100, 2300, 2500, 3300 MHz and 26 GHz — will be up for sale.","12:00 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=India+To+Sell+%2411.6+Billion+Airwaves+To+Boost+Phone+Networks&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Findia-to-sell-11-6-billion-of-airwaves-to-boost-phone-networks
"Who is Robert Hur, special counsel on Biden classified document probe?","On Thursday, he concluded that probe and found that Biden retained classified materials about Afghanistan after leaving the vice presidency in 2017 but said he will not be criminally charged.","11:57 AM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Who+is+Robert+Hur%2C+special+counsel+on+Biden+classified+document+probe%3F&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fworld%2Fwho-is-robert-hur-special-counsel-on-biden-classified-document-probe-12230281.html
"We have a bull case target of around 86,000 for Sensex: Jonathan Garner","​So for India, that is not such a problem because the Indian economy, of course, is also doing very well. It is in a virtuous cycle of improving nominal growth, earnings growth, capital inflows. So the currency is far more resilient in the face of dollar strength than in the past.","11:55 AM, 09 Feb 2024",Twitter,http://twitter.com/share?text=We+have+a+bull+case+target+of+around+86%2C000+for+Sensex%3A+Jonathan+Garner+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fexpert-view%2Fwe-have-a-bull-case-target-of-around-86000-for-sensex-jonathan-garner%2Farticleshow%2F107547255.cms
