Title,Description,Date,Source,Source_Link
"Zydus Lifesciences net profit jumps 27% in Q3FY24, announced buyback","Zydus Lifesciences on Tuesday reported Rs 789.6 crore net profit in Q3FY24, a year-on-year (YoY) jump of 27% led by growth in India, Europe and emerging market formulation sales.","06:45 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Zydus+Lifesciences+net+profit+jumps+27%25+in+Q3FY24%2C+announced+buyback+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fearnings%2Fzydus-lifesciences-net-profit-jumps-27-in-q3fy24-announced-buyback%2Farticleshow%2F107560453.cms
"Hyundai picks JP Morgan, Citi and HSBC as advisors for mega IPO of India arm","A potential filing of the draft papers of this mega deal in the works is likely by June 2024 and if the listing plans fructify, it would be the biggest ever IPO on the Indian bourses.","06:39 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Hyundai+picks+JP+Morgan%2C+Citi+and+HSBC+as+advisors+for+mega+IPO+of+India+arm&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fhyundai-picks-jp-morgan-citi-and-hsbc-as-advisors-for-mega-ipo-of-india-arm-12236111.html
Embraer Defense & Security collaborates with Mahindra for Air Force's transport aircraft procurement project,"As per the pact, Embraer and Mahindra will engage with the Indian Air Force to identify the next steps of the MTA programme, as well as contact the local aerospace industry in India to start developing the industrialization plan for the project, the statement said.","06:39 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Embraer+Defense+%26+Security+collaborates+with+Mahindra+for+Air+Force%27s+transport+aircraft+procurement+project&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fembraer-defense-security-collaborates-with-mahindra-for-air-forces-transport-aircraft-procurement-project-12236051.html
Hero MotoCorp Declares Interim Dividend Of Rs 75 Per Share,The company also declared a special dividend of Rs 25 per equity share.,"06:37 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Hero+MotoCorp+Declares+Interim+Dividend+Of+Rs+75+Per+Share&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Fhero-motocorp-declares-interim-dividend-of-rs-75-per-share
Hyundai Picks Banks For $3-Billion India IPO: Report,"Hyundai India plans to file draft IPO papers with SEBI by May or June this year, Reuters reported on Friday, citing sources.","06:34 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Hyundai+Picks+Banks+For+%243-Billion+India+IPO%3A+Report&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fipos%2Fhyundai-picks-banks-for-3-billion-india-ipo-report
Hero MotoCorp Q3 Results: Profit Surges 51% On Higher Sales,"'Moving forward, our margin shape will allow us to fuel our growth even more,' CEO Niranjan Gupta says.","06:15 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Hero+MotoCorp+Q3+Results%3A+Profit+Surges+51%25+On+Higher+Sales&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fquarterly-earnings%2Fhero-motocorp-q3-results-profit-surges-51-on-higher-sales
"Broad Correction Gradually Setting Into Markets, Say Analysts","The benchmark equity indices ended the choppy trading session higher, but declined on a weekly basis.","06:15 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Broad+Correction+Gradually+Setting+Into+Markets%2C+Say+Analysts&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fmarkets%2Fbroad-correction-gradually-setting-into-markets-say-analysts
Buy Aditya Birla Capital; target of Rs 230: Motilal Oswal,"Motilal Oswal is bullish on Aditya Birla Capital recommended buy rating on the stock with a target price of Rs 230 in its research report dated February 09, 2024.","06:10 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Buy+Aditya+Birla+Capital%3B+target+of+Rs+230%3A+Motilal+Oswal&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fstocks%2Fbuy-aditya-birla-capital-target-of-rs-230-motilal-oswal-12228761.html
"Hero MotoCorp Q3 Results: Profit surges 51% YoY to Rs 1,073 crore; co to pay Rs 100/share dividend","Revenue from operations grew 21% YoY in the quarter to Rs 9,724 crore and was higher than an ETnow poll of Rs 9,690 crore. The board has recommended an interim dividend of Rs 75 a share for the current financial year, and a special dividend of Rs 25 a share to mark the centennial year of Chairman Emeritus Brijmohan Lall Munjal.","06:09 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Hero+MotoCorp+Q3+Results%3A+Profit+surges+51%25+YoY+to+Rs+1%2C073+crore%3B+co+to+pay+Rs+100%2Fshare+dividend+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fearnings%2Fhero-motocorp-q3-results-profit-surges-51-yoy-to-rs-1073-crore-co-to-pay-rs-100%2Fshare-dividend%2Farticleshow%2F107559477.cms
Disruptions in Red Sea route likely to raise freight and forwarding cost by 25-30%: Report,"The disruptions in the Red Sea route will put pressure on cash flow of companies, and this could increase borrowings","06:06 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Disruptions+in+Red+Sea+route+likely+to+raise+freight+and+forwarding+cost+by+25-30%25%3A+Report&url=https%3A%2F%2Fwww.thehindu.com%2Fbusiness%2FIndustry%2Fdisruptions-in-red-sea-route-likely-to-raise-freight-and-forwarding-cost-by-25-30-report%2Farticle67828955.ece
Chinese New Year 2024: 8 facts to know about the year of the dragon,"Chinese New Year marks a time for reflection, reunion and looking ahead to the upcoming 12 months with many people travelling long distances to be with their families.","06:05 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Chinese+New+Year+2024%3A+8+facts+to+know+about+the+year+of+the+dragon&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Ftrends%2Fchinese-new-year-2024-8-facts-to-know-about-the-year-of-the-dragon-12235001.html
Tech View: Nifty finds support at 20-DMA. What traders should do next week,Nifty on Friday ended 65 points higher and found support at 20-DMA to form a small body-positive candle with a minor lower shadow on the daily chart to signal buying at lower levels.,"06:04 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Tech+View%3A+Nifty+finds+support+at+20-DMA.+What+traders+should+do+next+week+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fnews%2Ftech-view-nifty-finds-support-at-20-dma-what-traders-should-do-next-week%2Farticleshow%2F107559270.cms
AI Is Driving More Layoffs Than Companies Want To Admit,"By one tracker, US firms have announced&nbsp;4,600 job&nbsp;cuts since May&nbsp;related to artificial intelligence.","06:00 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=AI+Is+Driving+More+Layoffs+Than+Companies+Want+To+Admit&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fworld%2Fai-is-driving-more-layoffs-than-companies-want-to-admit
"India flips to premium, Lunar New Year sparks buying in other hubs","In top consumer China, premiums of $36-$48 per ounce were quoted over benchmark prices ahead of the week-long Lunar New Year holidays.","05:56 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=India+flips+to+premium%2C+Lunar+New+Year+sparks+buying+in+other+hubs&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Findia-flips-to-premium-lunar-new-year-sparks-buying-in-other-hubs-12235731.html
LIC's PSU Stocks Holding Value Rises Nearly Rs 1 Lakh Crore Since Oct. 1,"State Bank of India, IDBI Bank Ltd., and Oil and Natural Gas Corp. currently make for the largest holdings in value terms.","05:54 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=LIC%27s+PSU+Stocks+Holding+Value+Rises+Nearly+Rs+1+Lakh+Crore+Since+Oct.+1&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fmarkets%2Flics-psu-stocks-holding-value-rises-nearly-rs-1-lakh-crore-since-oct-1
