Unnamed: 0,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity +,96,-11,144,212,278,205,247,472,282,-39,330,53
Cash from Investing Activity +,-193,11,-93,130,-2,11,-61,-222,-215,-113,-28,-397
Cash from Financing Activity +,99,51,-111,-346,-270,-223,-180,-257,-40,166,-181,378
Net Cash Flow,1,51,-60,-5,6,-7,6,-8,28,13,121,35
