Unnamed: 0,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,77,68,95,84,63,60,50,56,61,100,66,44
Inventory Days,143,141,131,122,138,161,114,124,97,98,125,61
Days Payable,12,13,30,31,39,61,33,95,62,44,126,38
Cash Conversion Cycle,209,196,196,175,163,159,132,86,96,155,66,67
Working Capital Days,180,204,152,148,118,123,100,81,74,154,63,70
ROCE %,8%,4%,2%,3%,5%,11%,22%,24%,12%,4%,5%,14%
