Ticker,Close,ADR,RSI,Modified_ADR,Volume
COCHINSHIP.NS,890.45,12.01,56.66,0.28,11812467
IRB.NS,57.3,4.16,44.23,-0.59,36564735
KALYANKJIL.NS,370.05,4.5,45.0,-0.2,4403727
SUZLON.NS,39.4,1.07,40.85,-0.84,144957453
