Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Client ID,OB3975,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,P&L Statement for Equity from 2023-04-01 to 2024-03-28,,,,,,,,,,,,
,,,,,,,,,,,,,
,Summary,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charges,648.1626,,,,,,,,,,,
,Other Credit & Debit,-994.1382,,,,,,,,,,,
,Realized P&L,56402.8829,,,,,,,,,,,
,Unrealized P&L,53771.9971,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charges,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account Head,Amount,,,,,,,,,,,
,Brokerage - Z,0.69,,,,,,,,,,,
,RICOAUTO,INE209B01025,0,0,0,0,0,136.1,138,,18574.8,207,1.1144
,RVNL,INE415G01027,23,4268.8,5766.1,1497.3,35.0754,0,0,,0,0,0
,SAIL,INE114A01011,0,0,0,0,0,149.3,61,,6843.1,2264.2,33.0873
,SIGACHI,INE0D0K01022,1,280.85,381.15,100.3,35.713,0,0,,0,0,0
,SONACOMS,INE073K01018,5,3573.2,2554.5,-1018.7,-28.5095,0,0,,0,0,0
,SWISSMLTRY-X,INE010C01025,60,1674,840.6,-833.4,-49.7849,0,0,,0,0,0
,TATAPOWER,INE245A01021,0,0,0,0,0,430.4,40,,7575,9641,127.2739
,TATASTEEL,INE081A01020,30,3966,4032,66,1.6641,0,0,,0,0,0
,TBZ,INE760L01018,36,4561.2,4503.6,-57.6,-1.2628,0,0,,0,0,0
,TRIDENT,INE064C01022,0,0,0,0,0,39,200,,2070,5730,276.8116
,VBL,INE200M01021,0,0,0,0,0,1405,26,,12743.2,23786.8,186.6627
,VEDL,INE205A01025,9,2568.2,2277.45,-290.75,-11.3212,0,0,,0,0,0
,VIKASLIFE-T,INE161L01027,0,0,0,0,0,5.08,250,,1637.5,-367.5,-22.4427
,WELSPUNLIV,INE192B01031,65,7593.75,10289.5,2695.75,35.4996,0,0,,0,0,0
,WIPRO,INE075A01022,0,0,0,0,0,448.6,30,,17114.2,-3656.2,-21.3635
