Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
IDBI.NS,89.3499984741211,83.91200012207031,86.23181828585538,69.71358880996704,83.75046241087416,71.78655501458181,23.69441848836036%,16.66594447088617%,Positive,-3.616043648678561%,3.616043648678561%,,
INDIANB.NS,528.5999755859375,516.8020056152344,521.8988702947444,425.24974945068357,510.85720048908263,435.55185797628263,22.72761382432496%,17.289638681073114%,Positive,-1.2839853988203989%,1.2839853988203989%,,
JKCEMENT.NS,4330.7001953125,4227.00603515625,4255.993208451705,3638.0926208496094,4209.74360993874,3746.5815204821715,16.984190673457793%,12.362258419428727%,Positive,-1.7553361389872335%,1.7553361389872335%,,
KPITTECH.NS,1490.300048828125,1459.4700048828124,1531.5798395330255,1322.8754537963866,1494.8032814863295,1345.6807110686732,15.776571039828372%,11.08157151923732%,Negative,2.6952424966292714%,-2.6952424966292714%,,
L&TFH.NS,169.0500030517578,160.12000061035155,164.88977362892845,145.2081109237671,163.1791831344161,145.2333883145997,13.55410698476344%,12.356521477652798%,Positive,-2.523036651255057%,2.523036651255057%,,
LTTS.NS,5647.85009765625,5439.5980078125,5441.053400213068,4756.154630126953,5443.156322869529,4844.462262170341,14.400262887748747%,12.358318184750805%,Positive,-3.8006739179417712%,3.8006739179417712%,,
LICHSGFIN.NS,649.0499877929688,618.6779931640625,628.8590878573331,502.3281294250488,617.0327165653405,520.4022284537537,25.18890562173139%,18.56842319809052%,Positive,-3.2107192732843703%,3.2107192732843703%,,
MRF.NS,132679.59375,137128.464375,141075.75071022726,118976.763984375,137168.88367346313,121769.96150908378,18.574203891403947%,12.645911991382727%,Negative,5.9515238571887235%,-5.9515238571887235%,,
MAXHEALTH.NS,864.3499755859375,777.2639990234375,807.8568184592507,660.2610995483399,787.7315554142156,679.0719450995202,22.354144294109645%,16.00119267167942%,Positive,-6.992966554943597%,6.992966554943597%,,
MAZDOCK.NS,2206.75,2014.94197265625,2061.9727117365055,1982.2912982177734,2075.607214555936,1878.5435056267936,4.019662175300453%,10.49023929117842%,Positive,-7.021299915340258%,7.021299915340258%,,
MSUMI.NS,68.80000305175781,66.39200012207031,68.24090905623002,62.641042919158934,67.01244911086813,62.60392339634826,8.939611915941386%,7.041931999388122%,Positive,-0.8192944719817543%,0.8192944719817543%,,
MPHASIS.NS,2445.199951171875,2457.2680078125,2544.7045565518465,2386.3780236816406,2505.481258899878,2368.246218594796,6.634595663345238%,5.794796133423599%,Negative,3.910261610676067%,-3.910261610676067%,,
NHPC.NS,92.8499984741211,88.32599914550781,89.8198654868386,62.81553071975708,87.15799294753977,67.91251185610487,42.98990147445808%,28.33863829424071%,Positive,-3.3735666056263556%,3.3735666056263556%,,
NMDC.NS,241.10000610351562,216.75800048828125,223.2925602306019,166.52755912780762,216.98418485584213,178.28628109875706,34.08745159065709%,21.705485985009343%,Positive,-7.9749391804739735%,7.9749391804739735%,,
PATANJALI.NS,1343.75,1403.88705078125,1489.7434831099076,1392.3019659423828,1449.9221021958058,1380.4568835170955,6.998590790724863%,5.032045513926404%,Negative,9.799907485088612%,-9.799907485088612%,,
PERSISTENT.NS,3958.75,4056.448984375,4167.6079434481535,3249.9323205566407,4044.0065918077626,3418.3963167580573,28.236761026898417%,18.301279813073933%,Negative,5.011458522064115%,-5.011458522064115%,,
PETRONET.NS,302.5,273.79,275.62841033935547,231.0880442047119,270.0163973888545,240.01276137584722,19.274197541430134%,12.50085030521489%,Positive,-9.749208954026205%,9.749208954026205%,,
PHOENIXLTD.NS,3028.449951171875,2751.74001953125,2754.9988625266337,2136.0095416259765,2716.903926342009,2228.25979727024,28.97877134151139%,21.92940561376142%,Positive,-9.925633449970169%,9.925633449970169%,,
POONAWALLA.NS,494.70001220703125,470.79199951171876,472.2965906316584,415.8860073852539,471.57687765163746,419.5996934518369,13.56395316136444%,12.387326542641212%,Positive,-4.743506944526132%,4.743506944526132%,,
PRESTIGE.NS,1248.3499755859375,1171.2900048828126,1178.4545482288706,893.8157861328125,1187.0816604764896,955.0291457012202,31.8453496248458%,24.297951096025166%,Positive,-5.931109304309995%,5.931109304309995%,,
RVNL.NS,260.1499938964844,250.33200073242188,254.62841068614614,183.66205074310304,250.8189158596824,194.1597047437475,38.63964256955138%,29.181755911049546%,Positive,-2.168486696146454%,2.168486696146454%,,
SJVN.NS,132.39999389648438,123.50599975585938,124.0961243022572,83.9262686920166,121.85200460432819,90.21012626921767,47.863268838570086%,35.07574996700526%,Positive,-6.691481817757413%,6.691481817757413%,,
SUNTV.NS,630.7000122070312,603.1366088867187,609.6784126975319,600.6782192993164,614.7202629768816,593.4529892294805,1.498338562818896%,3.583649275238093%,Positive,-3.4479816033651094%,3.4479816033651094%,,
SUZLON.NS,42.150001525878906,39.895999908447266,42.44659077037465,32.34924992561341,41.31340821571148,33.29636479550263,31.213523862160386%,24.077833930062294%,Negative,0.6987351377645731%,-0.6987351377645731%,,
NIACL.NS,228.89999389648438,238.50799926757813,252.66590881347656,180.87077835083008,240.60789348289606,194.77332212630367,39.69415685456246%,23.53226348260892%,Negative,9.406063140293572%,-9.406063140293572%,,
IDEA.NS,12.949999809265137,13.374000015258789,14.222727233713323,12.001249980926513,13.848413875966,12.271258556909233,18.510382304488164%,12.852433283371425%,Negative,8.948546952593832%,-8.948546952593832%,,
YESBANK.NS,24.450000762939453,23.856000061035157,25.259090943769976,20.287000012397765,24.340796994859428,21.19130733157698,24.508754021460412%,14.862177278649638%,Negative,3.203164288974862%,-3.203164288974862%,,
