Ticker,Close,Volume,ADR,RSI
BSE.NS,2875.6,887938,5.22,84.51
COCHINSHIP.NS,1081.2,5566690,5.95,85.99
HUDCO.NS,206.4,24370150,5.43,72.7
IRB.NS,67.2,61806407,5.13,75.45
SJVN.NS,135.4,48760930,5.33,71.28
