Stock,Close,Volume,ADR,Mod_ADR,RSI
ADANIENSOL.NS,1026.7,3159446,5.39,4.74,44.12
ADANIGREEN.NS,1835.15,605145,5.54,4.99,43.48
ATGL.NS,926.55,3467464,5.4,4.68,38.91
IRFC.NS,142.35,50962525,6.89,6.13,51.49
ZOMATO.NS,182.1,42567446,5.41,5.34,66.86
