Stock,Date of gap up,Gap up percentage
TORNTPHARM.NS,2022-05-26,10.101332071180314
TRENT.NS,2020-02-07,11.709663642865596
TRENT.NS,2020-03-25,10.435215836781968
TRENT.NS,2020-03-26,11.005372419339396
TRENT.NS,2020-06-23,12.108809236164792
TRENT.NS,2024-02-07,18.86326194398682
MCDOWELL-N.NS,2020-01-28,13.9308685958808
VBL.NS,2020-11-27,12.069956860242321
VEDL.NS,2020-04-30,13.13961001311986
VEDL.NS,2020-05-12,11.871865274858049
VEDL.NS,2021-10-18,12.910517291808093
VEDL.NS,2022-05-17,11.788266349648024
VEDL.NS,2022-09-14,10.106294197162805
ZOMATO.NS,2021-07-26,11.626979282924108
ZOMATO.NS,2022-05-24,13.847498364293898
ZOMATO.NS,2022-05-30,14.50443823587002
ZOMATO.NS,2022-08-02,19.978402057069356
ZOMATO.NS,2022-11-11,13.838940083245701
ZOMATO.NS,2023-02-08,10.0303969928899
ZOMATO.NS,2023-08-04,10.225301169346812
ZYDUSLIFE.NS,2020-03-20,16.249737928675138
ZYDUSLIFE.NS,2020-04-07,13.74726844899247
ZYDUSLIFE.NS,2020-04-08,12.005762531527584
