Stock,Close,Volume,ADR,Mod_ADR,RSI
AEGISCHEM.NS,381.25,881519,5.794343310750616,5.854696722089672,31.523019964874166
ANGELONE.NS,2624.949951171875,477531,5.492339810811719,4.943476629353116,30.174563065464838
BLS.NS,353.75,15240607,7.365838693598592,6.561441396589227,44.72677929153859
CENTRALBK.NS,59.5,26890962,6.6066899058192075,5.881013409729997,40.458015267175576
CENTURYTEX.NS,1418.300048828125,197853,5.369056810355732,4.77075165544233,48.86612345264187
COCHINSHIP.NS,890.4500122070312,11812467,5.985462617450921,5.269242237981013,54.286484626429015
DATAPATTNS.NS,2363.85009765625,354905,8.79963140704547,8.180638918410489,50.04837245176368
EASEMYTRIP.NS,44.099998474121094,15288653,5.54932871176399,4.882232573853986,38.8554209253581
GRAPHITE.NS,615.7000122070312,1913203,5.383649285844805,5.627446186912776,53.89100693835253
HINDCOPPER.NS,271.1499938964844,39164127,5.73529472203369,5.370791993303495,53.1493031264624
HUDCO.NS,188.8000030517578,42797939,7.760667935485466,6.911523038661452,44.67977706626531
IDBI.NS,84.19999694824219,17250245,5.118545851703837,4.748847543482081,38.76220858871311
IRB.NS,57.29999923706055,36564735,6.118293671775676,5.352453554516333,32.3809425544292
IOB.NS,60.099998474121094,14183286,6.143666389580038,5.709436996227032,38.50931875693042
INTELLECT.NS,1119.25,814800,5.567042881599105,5.051493143037336,73.55979949717062
JBMA.NS,1892.0,200381,6.435079576630787,6.591705823835804,30.48818096521356
JYOTHYLAB.NS,427.3999938964844,4811950,5.3312295128797205,4.613664893957226,34.037739968763844
KALYANKJIL.NS,370.04998779296875,4403727,5.74403836341062,5.089889159340329,43.971924851702546
MRPL.NS,215.64999389648438,8757494,7.625430899665564,8.233403052829406,35.92729932770308
NLCINDIA.NS,209.10000610351562,14114208,6.177049477079777,5.767801587177816,32.65993547710916
NATIONALUM.NS,136.39999389648438,41641387,5.4030271286197085,5.210647126888242,31.94887867411373
RITES.NS,622.2000122070312,7926580,7.487356231712372,6.4336063583653935,32.44762695009604
REDINGTON.NS,211.64999389648438,5550846,5.334138055849813,5.318949970095859,51.18361524504167
SJVN.NS,124.5999984741211,119509864,7.638803504220282,6.776331754349123,54.1328985692726
SUZLON.NS,39.400001525878906,144957453,5.950895820036073,5.1734277923507275,35.60209309060406
TTML.NS,79.05000305175781,4415878,5.738063293962159,4.89632310866774,35.96378001840924
TRITURBINE.NS,472.25,609636,6.020211242181306,5.589457146989379,56.701040799197216
UCOBANK.NS,52.400001525878906,21270818,6.652649126538157,5.96627976706939,38.96103992613359
WELSPUNLIV.NS,149.14999389648438,3069696,5.864620835420542,5.37226475665286,40.78040953334717
